sandeep,kavalur,sandy,male,administrator,sandy@mail.com,admin
rahul,karthik,rahulk,male,employee,rahul@mail.com,admin
Aishwarya,MM,a_uname,female,administrator,a@mail.com,admin
sandeep,kavalur,sandy0,male,administrator,sandy@mail.com,admin
sandeep,kavalur,sandy1,male,administrator,sandy1@mail.com,admin
rahul,karthik,rahulk1,male,employee,rahul1@mail.com,admin
Aishwarya,MM,a_uname1,female,administrator,a1@mail.com,admin
ankit,sahu,ankitt,male,administrator,ankit@mail.com,admin
shishir,kumar,shishirk,male,employee,shishir@mail.com,admin
sandeep,kavalur,sandy2,male,administrator,sandy2@mail.com,admin
rahul,karthik,rahulk2,male,employee,r@mail.com,admin
Aishwarya,MM,a_uname2,female,administrator,a2@mail.com,admin
ankit,sahu,ankitt2,male,administrator,ankit2@mail.com,admin
shishir,kumar,shishirk2,male,employee,shishir2@mail.com,admin
